catalog,well,plate,letter,number,primer_f,primer_r,thermocycler,band,date,flag,notes,primers,evaporated,
23S468,D8,CDFA_P1,D,8,LCO,CFMRb,#6,n,12/18/2023,,,,,
23S777,E8,CDFA_P1,E,8,LCO,CFMRb,#6,n,12/18/2023,,,,,
23S784,F8,CDFA_P1,F,8,LCO,CFMRb,#6,y,12/18/2023,,,,,
23S793,G8,CDFA_P1,G,8,LCO,CFMRb,#6,y,12/18/2023,,,,,
23S808,H8,CDFA_P1,H,8,LCO,CFMRb,#6,y,12/18/2023,,,,,
23S652,A9,CDFA_P1,A,9,LCO,CFMRb,#6,y,12/18/2023,,,,,
23S470,B9,CDFA_P1,B,9,LCO,CFMRb,#6,y,12/18/2023,,,,,
23S686,C9,CDFA_P1,C,9,LCO,CFMRb,#6,y,12/18/2023,,,,,
23S764,D9,CDFA_P1,D,9,LCO,CFMRb,#6,y,12/18/2023,,,,,
23S778,E9,CDFA_P1,E,9,LCO,CFMRb,#6,y,12/18/2023,,,,,
23S469,F9,CDFA_P1,F,9,LCO,CFMRb,#6,y,12/18/2023,,,,,
23S794,G9,CDFA_P1,G,9,LCO,CFMRb,#6,y,12/18/2023,,,,,
23S809,H9,CDFA_P1,H,9,LCO,CFMRb,#6,y,12/18/2023,,,,,
23S812,A10,CDFA_P1,A,10,LCO,CFMRb,#6,n,12/18/2023,,,,,
23S815,B10,CDFA_P1,B,10,LCO,CFMRb,#6,y,12/18/2023,,,,,
23S817,C10,CDFA_P1,C,10,LCO,CFMRb,#6,y,12/18/2023,,,,,
23S820,D10,CDFA_P1,D,10,LCO,CFMRb,#6,n,12/18/2023,,,,,
23S828,E10,CDFA_P1,E,10,LCO,CFMRb,#6,y,12/18/2023,,,,,
23S834,F10,CDFA_P1,F,10,LCO,CFMRb,#6,y,12/18/2023,,,,,
23S824,G10,CDFA_P1,G,10,LCO,CFMRb,#6,y,12/18/2023,,,,,
23S837,H10,CDFA_P1,H,10,LCO,CFMRb,#6,y,12/18/2023,,,,,
23S811,A11,CDFA_P1,A,11,LCO,CFMRb,#6,n,12/18/2023,,,,,
23S814,B11,CDFA_P1,B,11,LCO,CFMRb,#6,y,12/18/2023,,,,,
23S818,C11,CDFA_P1,C,11,LCO,CFMRb,#6,y,12/18/2023,,,,,
23S821,D11,CDFA_P1,D,11,LCO,CFMRb,#6,y,12/18/2023,,,,,
23S825,E11,CDFA_P1,E,11,LCO,CFMRb,#6,y,12/18/2023,,,,,
23S835,F11,CDFA_P1,F,11,LCO,CFMRb,#6,y,12/18/2023,,,,,
23S826,G11,CDFA_P1,G,11,LCO,CFMRb,#6,y,12/18/2023,,,,,
23S845,H11,CDFA_P1,H,11,LCO,CFMRb,#6,n,12/18/2023,,,,,
23S813,A12,CDFA_P1,A,12,LCO,CFMRb,#6,n,12/18/2023,,,,,
23S816,B12,CDFA_P1,B,12,LCO,CFMRb,#6,y,12/18/2023,,,,,
23S819,C12,CDFA_P1,C,12,LCO,CFMRb,#6,n,12/18/2023,,,,,
23S822,D12,CDFA_P1,D,12,LCO,CFMRb,#6,n,12/18/2023,,,,,
23S829,E12,CDFA_P1,E,12,LCO,CFMRb,#6,n,12/18/2023,,,,,
23S836,F12,CDFA_P1,F,12,LCO,CFMRb,#6,y,12/18/2023,,,,,
23S827,G12,CDFA_P1,G,12,LCO,CFMRb,#6,n,12/18/2023,,,,,
23S846,H12,CDFA_P1,H,12,LCO,CFMRb,#6,n,12/18/2023,,,,,
23S734,A1,CDFA_P1,A,1,LCO,HCO,#6,n,12/18/2023,,,,,
23S648,B1,CDFA_P1,B,1,LCO,HCO,#6,n,12/18/2023,,,,,
23S684,C1,CDFA_P1,C,1,LCO,HCO,#6,n,12/18/2023,,,,,
23S687,D1,CDFA_P1,D,1,LCO,HCO,#6,n,12/18/2023,,,,,
23S765,E1,CDFA_P1,E,1,LCO,HCO,#6,n,12/18/2023,,,,,
23S779,F1,CDFA_P1,F,1,LCO,HCO,#6,n,12/18/2023,,,,,
23S786,G1,CDFA_P1,G,1,LCO,HCO,#6,n,12/18/2023,,,,,
23S795,H1,CDFA_P1,H,1,LCO,HCO,#6,n,12/18/2023,,,,,
23S735,A2,CDFA_P1,A,2,LCO,HCO,#6,n,12/18/2023,,,,,
23S594,B2,CDFA_P1,B,2,LCO,HCO,#6,n,12/18/2023,,,,,
23S683,C2,CDFA_P1,C,2,LCO,HCO,#6,n,12/18/2023,,,,,
23S688,D2,CDFA_P1,D,2,LCO,HCO,#6,n,12/18/2023,,,,,
23S767,E2,CDFA_P1,E,2,LCO,HCO,#6,n,12/18/2023,,,,,
23S780,F2,CDFA_P1,F,2,LCO,HCO,#6,n,12/18/2023,,,,,
23S787,G2,CDFA_P1,G,2,LCO,HCO,#6,n,12/18/2023,,,,,
23S796,H2,CDFA_P1,H,2,LCO,HCO,#6,n,12/18/2023,,,,,
23S737,A3,CDFA_P1,A,3,LCO,HCO,#6,n,12/18/2023,,,,,
23S458,B3,CDFA_P1,B,3,LCO,HCO,#6,n,12/18/2023,,,,,
23S471,C3,CDFA_P1,C,3,LCO,HCO,#6,n,12/18/2023,,,,,
23S758,D3,CDFA_P1,D,3,LCO,HCO,#6,n,12/18/2023,,,,,
23S766,E3,CDFA_P1,E,3,LCO,HCO,#6,n,12/18/2023,,,,,
23S781,F3,CDFA_P1,F,3,LCO,HCO,#6,n,12/18/2023,,,,,
23S788,G3,CDFA_P1,G,3,LCO,HCO,#6,n,12/18/2023,,,,,
23S797,H3,CDFA_P1,H,3,LCO,HCO,#6,n,12/18/2023,,,,,
23S738,A4,CDFA_P1,A,4,LCO,HCO,#6,n,12/18/2023,,,,,
23S476,B4,CDFA_P1,B,4,LCO,HCO,#6,n,12/18/2023,,,,,
23S472,C4,CDFA_P1,C,4,LCO,HCO,#6,n,12/18/2023,,,,,
23S759,D4,CDFA_P1,D,4,LCO,HCO,#6,n,12/18/2023,,,,,
23S768,E4,CDFA_P1,E,4,LCO,HCO,#6,n,12/18/2023,,,,,
23S783,F4,CDFA_P1,F,4,LCO,HCO,#6,n,12/18/2023,,,,,
23S789,G4,CDFA_P1,G,4,LCO,HCO,#6,n,12/18/2023,,,,,
23S798,H4,CDFA_P1,H,4,LCO,HCO,#6,n,12/18/2023,,,,,
23S739,A5,CDFA_P1,A,5,LCO,HCO,#6,n,12/18/2023,,,,,
23S477,B5,CDFA_P1,B,5,LCO,HCO,#6,n,12/18/2023,,,,,
23S484,C5,CDFA_P1,C,5,LCO,HCO,#6,n,12/18/2023,,,,,
23S474,D5,CDFA_P1,D,5,LCO,HCO,#6,y,12/18/2023,,,,,
23S769,E5,CDFA_P1,E,5,LCO,HCO,#6,n,12/18/2023,,,,,
23S782,F5,CDFA_P1,F,5,LCO,HCO,#6,n,12/18/2023,,,,,
23S790,G5,CDFA_P1,G,5,LCO,HCO,#6,n,12/18/2023,,,,,
23S805,H5,CDFA_P1,H,5,LCO,HCO,#6,n,12/18/2023,,,,,
23S740,A6,CDFA_P1,A,6,LCO,HCO,#6,n,12/18/2023,,,,,
23S463,B6,CDFA_P1,B,6,LCO,HCO,#6,n,12/18/2023,,,,,
23S529,C6,CDFA_P1,C,6,LCO,HCO,#6,n,12/18/2023,,,,,
23S760,D6,CDFA_P1,D,6,LCO,HCO,#6,y,12/18/2023,,,,,
23S770,E6,CDFA_P1,E,6,LCO,HCO,#6,n,12/18/2023,,,,,
23S531,F6,CDFA_P1,F,6,LCO,HCO,#6,n,12/18/2023,,,,,
23S791,G6,CDFA_P1,G,6,LCO,HCO,#6,y,12/18/2023,,,,,
23S806,H6,CDFA_P1,H,6,LCO,HCO,#6,n,12/18/2023,,,,,
23S741,A7,CDFA_P1,A,7,LCO,HCO,#6,n,12/18/2023,,,,,
23S466,B7,CDFA_P1,B,7,LCO,HCO,#6,n,12/18/2023,,,,,
23S681,C7,CDFA_P1,C,7,LCO,HCO,#6,n,12/18/2023,,,,,
23S761,D7,CDFA_P1,D,7,LCO,HCO,#6,n,12/18/2023,,,,,
